#-----------------------------------------------------------
# xsim v2020.2 (64-bit)
# SW Build 3064766 on Wed Nov 18 09:12:45 MST 2020
# IP Build 3064653 on Wed Nov 18 14:17:31 MST 2020
# Start of session at: Wed May 22 22:46:35 2024
# Process ID: 10104
# Current directory: C:/Users/atomi/GitHub/hw-viv/div_archive
# Command line: xsim.exe -mode tcl -source {xsim.dir/div_tb_snapshot_p2/xsim_script.tcl}
# Log file: C:/Users/atomi/GitHub/hw-viv/div_archive/xsim.log
# Journal file: C:/Users/atomi/GitHub/hw-viv/div_archive\xsim.jou
#-----------------------------------------------------------
source xsim.dir/div_tb_snapshot_p2/xsim_script.tcl
# xsim {div_tb_snapshot_p2} -autoloadwcfg -runall
Vivado Simulator 2020.2
Time resolution is 1 ps
run -all
start of checking module div32p2
r       69984805780358      22113      14504                 1106
q       23994356127005      11962 3279930300           2005881635
r       23994356127005      11962        360                 9135
q        8557641940753       5410 3042996237           1581819212
r        8557641940753       5410       3398                 3833
q         899273208226       3584 2341620004            250913283
r         899273208226       3584       2048                 1954
q         333344684828        241  392071703           1383172966
r         333344684828        241         89                   22
q        3619422229485       1106 1627116905           3272533661
r        3619422229485       1106         94                  419
q        1108712158471        428 1675840043           2590448968
r        1108712158471        428         28                  167
q        1116732332529        272 2036951401           4105633575
r        1116732332529        272        112                  129
q         173670504392        190 1175464733            914055286
r         173670504392        190        122                   52
q   564241331556298140  829007576 4124604711            680622647
r   564241331556298140  829007576  181107992            796124468
q  1136493638186667281  424712680 1436578474           2675911720
r  1136493638186667281  424712680  317750256            142057681
q   148912912235458881  177897453  835787976            837071637
r   148912912235458881  177897453   64037592             34618320
q    70735759289200155   62741200 3066479199           1127421204
r    70735759289200155   62741200   17411280             44795355
q     7231103194839205    2853328 1422768277           2534269875
r     7231103194839205    2853328     739824               945205
q   132186158446619345   48681645 1732850020           2715318236
r   132186158446619345   48681645   19765100             19641125
q    53499421000670311   19799218 3612797378           2702097678
r    53499421000670311   19799218   19152668             16654507
q    23196925667097347    8409490 1448394215           2758422409
r    23196925667097347    8409490    1416002              2835937
q     8769022540354487    2973790 1875269790           2948769933
r     8769022540354487    2973790    2766332              1298417
q     4121272015853508    2018294  532013177           2041958216
r     4121272015853508    2018294     809146               250004
q      361096197240133     241298 4167683559           1496474057
r      361096197240133     241298      36930               234147
q      183923836216543     290818 2513891981            632436218
r      183923836216543     290818      27366               170219
q      255637762642275     101433  517896000           2520262268
r      255637762642275     101433      29376                12231
q      283628841244472     118880 1415951869           2385841531
r      283628841244472     118880      78112                39192
q        4579644485986       7689 1860649767            595609895
r        4579644485986       7689       4513                 3331
q       58121021420439      23821 2361051036           2439906864
r       58121021420439      23821      12564                13095
q       43023209461149      11440 3404812797           3760770057
r       43023209461149      11440       9744                 9069
q        7612149935289       2141 3151515003           3555417998
r        7612149935289       2141        593                 1571
q        6853138513355       3977   85316172           1723192988
r        6853138513355       3977        340                   79
q         761338853941        438 2186707093           1738216561
r         761338853941        438        274                  223
q        3071994804529        919 1631059397           3342758220
r        3071994804529        919        461                  349
q        2462634437665        583 3771909529           4224072791
r        2462634437665        583        145                  512
q         307023775387        170  682141864           1806022208
r         307023775387        170        112                   27
q           9446456894        150 1259857073             62976379
r           9446456894        150         74                   44
q  1213873019151777731  996053914 1294075305           1218682043
r  1213873019151777731  996053914  154832214            300111429
q   752165682953619701  481430388 2122900134           1562356057
r   752165682953619701  481430388  147860168            237959585
q   658853603867956234  347780481 1230282628           1894452506
r   658853603867956234  347780481   28002940             99620848
q     5641415126899250    2943677  611592247           1916451814
r     5641415126899250    2943677     526693               419172
q   194272981949269904   81525158  409240022           2382981974
r   194272981949269904   81525158   41462076              7768012
q     9313758974468798   18096419 3839763280            514674144
r     9313758974468798   18096419   13884432             16178462
q     1533954912922107    2844486 2708261617            539273145
r     1533954912922107    2844486    2001690              1793637
q     1079683625753866     278122 3601804216           3882050415
r     1079683625753866     278122      87504               233236
q      189658302956770     112742 3992717286           1682232911
r      189658302956770     112742     100956               104808
q       23237343458699     935965   41065277             24827150
r       23237343458699     935965     344599                 8949
q     5833626665175353    1377154 2092238518           4236001685
r     5833626665175353    1377154    1078676               670863
q      113444060055420     441901 2585828826            256718269
r      113444060055420     441901      29870               266051
q      240460054205201     150504  860711400           1597698760
r      240460054205201     150504      69056                30161
q      351128213771763      88697 1310130389           3958738331
r      351128213771763      88697      47443                27056
q       83350297947438      77578 1801076027           1074406377
r       83350297947438      77578      50866                32532
q       93789288684962      36770 1015280275           2550701351
r       93789288684962      36770      25082                 8692
q       30087639407836      15371  315744782           1957428886
r       30087639407836      15371        358                 1130
q       30874229814293       7743  916348440           3987373087
r       30874229814293       7743       2072                 1652
q        6829861399241       4039 1182471808           1690978311
r        6829861399241       4039        640                 1112
q        4541912110089       1300  954804268           3493778546
r        4541912110089       1300        144                  289
q        1036206818761        582  937217949           1780424087
r        1036206818761        582        274                  127
q         521828592950        496  467597245           1052073776
r         521828592950        496        464                   54
q         256528656371        246  611072582           1042799416
r         256528656371        246        188                   35
q         409204232924        190  316471274           2153706489
r         409204232924        190         84                   14
q  5512759216159187464 1589226250  154292000           3468832217
